,identifier,total,rate
0,self,336090,0.15112619570188088
1,np,236556,0.10636974724167376
2,x,114196,0.05134936191011928
3,result,67976,0.030566081344375183
4,expected,59088,0.026569504155531963
5,a,56700,0.025495716314965177
6,pytest,49758,0.022374177291005947
7,y,45870,0.020625899600836908
8,df,45500,0.020459525437935017
9,tm,40070,0.018017872182374862
10,valueerror,30250,0.013602211966978776
11,n,29644,0.013329718067739466
12,i,29232,0.013144458189048714
13,data,28226,0.012692100329915468
14,ax,27776,0.012489753375034792
15,b,27088,0.012180387364017225
16,len,26590,0.011956456733949277
17,assert_equal,25238,0.011348516549507779
18,msg,24428,0.010984292030722563
19,s,21394,0.009620023894927072
20,res,21186,0.009526494635782225
21,dataframe,21170,0.009519300077386468
22,c,20832,0.009367315031276094
23,f,20754,0.009332241559096777
24,models,20552,0.00924141025935034
25,index,19428,0.008735992532048386
26,str,19084,0.008581309526539602
27,pd,18948,0.008520155780175663
28,isinstance,18664,0.00839245236865097
29,series,18486,0.00831241290649817
30,dtype,17074,0.0076774931280725826
31,name,16970,0.007630728498500159
32,k,16508,0.007422985624822665
33,list,16160,0.0072665039797149425
34,plt,16126,0.007251215543123958
35,p,16070,0.007226034588738808
36,range,15980,0.007185565197762672
37,m,15022,0.0067547910138167
38,datetime,15016,0.006752093054418291
39,assert_allclose,14126,0.006351895743654287
40,obj,14008,0.006298835875485576
41,arr,13976,0.0062844467586940615
42,value,13432,0.006039831773238311
43,d,13010,0.005850075295550211
44,r,12950,0.005823095701566121
45,t,12814,0.005761941955202183
46,int,12630,0.0056792045336509734
47,path,12048,0.005417502472005299
48,kwargs,11856,0.00533116777125621
49,idx,11574,0.005204363679530987
50,args,11254,0.005060472511615839
51,typeerror,11092,0.004987627607858796
52,response,11040,0.004964245293072584
53,v,10902,0.004902192226909177
54,rng,10786,0.004850031678539936
55,fig,10750,0.004833843922149483
56,assert_array_equal,10748,0.004832944602350012
57,assert_,10564,0.004750207180798803
58,values,10026,0.004508290154741462
59,ser,9934,0.004466921443965857
60,z,9770,0.004393177220409343
61,other,9726,0.00437339218482101
62,axis,9644,0.004336520073042754
63,out,9624,0.004327526875048057
64,bool,9450,0.004249286052494196
65,assert_raises,9232,0.004151260194352002
66,assert_array_almost_equal,8830,0.003970496914658598
67,cls,8814,0.0039633023562628406
68,key,8516,0.0038293037061418594
69,stats,8362,0.003760056081582695
70,output,8310,0.0037366737667964833
71,os,8278,0.003722284650004969
72,request,8010,0.003601775796876033
73,_,7868,0.003537924091113686
74,w,7724,0.00347317306555187
75,array,7568,0.0034030261211932355
76,getattr,7444,0.003347268293626116
77,float,7320,0.003291510466058996
78,j,7192,0.0032339539988929375
79,q,7032,0.003162008414935364
80,super,7012,0.0031530152169406667
81,exp,6836,0.0030738750745873357
82,dt,6834,0.0030729757547878662
83,timestamp,6598,0.002966856018450445
84,clf,6498,0.0029218900284769616
85,object,6440,0.002895809754292341
86,type,6386,0.00287152811970666
87,n_samples,6250,0.0028103743733427222
88,func,6202,0.0027887906981554503
89,connection,6198,0.0027869920585565106
90,mask,6182,0.0027797975001607536
91,assert_almost_equal,6136,0.002759113144772951
92,field,6076,0.002732133550788861
93,method,5926,0.0026646845658286353
94,dict,5888,0.0026475974896387118
95,val,5468,0.002458740331750081
96,tuple,5466,0.002457841011950611
97,e,5342,0.0024020831843834917
98,print,5292,0.00237960018939675
99,model,5194,0.002335533519222736
100,parser,5110,0.00229776208764501
101,h,5072,0.002280675011455086
102,left,4882,0.002195239630505467
103,u,4734,0.0021286899653447117
104,zip,4616,0.002075630097176001
105,right,4524,0.002034261386400396
106,sys,4522,0.0020333620666009265
107,params,4448,0.0020000872340205484
108,hasattr,4416,0.001985698117229034
109,ts,4252,0.0019119538936725208
110,multiindex,4094,0.0018409076295144169
111,qs,3996,0.001796840959340403
112,property,3882,0.0017455797307706316
113,alpha,3876,0.0017428817713722226
114,col,3866,0.0017383851723748742
115,estimator,3860,0.0017356872129764653
116,editor,3806,0.001711405578390784
117,x1,3788,0.001703311700195557
118,df2,3766,0.0016934191824013907
119,line,3730,0.0016772314260109365
120,test,3726,0.0016754327864119973
121,warnings,3706,0.0016664395884173006
122,date_range,3702,0.0016646409488183613
123,author,3698,0.0016628423092194219
124,actual,3662,0.0016466545528289677
125,x0,3622,0.0016286681568395743
126,axes,3618,0.001626869517240635
127,n_features,3568,0.0016043865222538933
128,timedelta,3536,0.0015899974054623786
129,form,3506,0.0015765076084703334
130,op,3478,0.0015639171312777582
131,numpy,3470,0.0015603198520798794
132,shape,3424,0.001539635496692077
133,info,3396,0.0015270450194995015
134,labels,3392,0.0015252463799005622
135,x2,3372,0.0015162531819058655
136,message,3362,0.0015117565829085172
137,size,3318,0.0014919715473201843
138,loc,3290,0.001479381070127609
139,vals,3218,0.0014470055573467008
140,repr,3194,0.0014362137197530649
141,g,3192,0.001435314399953595
142,y_pred,3148,0.0014155293643652624
143,y_true,3128,0.0014065361663705657
144,enumerate,3128,0.0014065361663705657
145,td,3124,0.0014047375267716262
146,start,3112,0.0013993416079748082
147,axs,3112,0.0013993416079748082
148,set,3030,0.0013624694961965518
149,re,3000,0.0013489796992045067
150,app,2988,0.0013435837804076887
151,random,2942,0.0013228994250198862
152,sample_weight,2932,0.001318402826022538
153,row,2924,0.0013148055468246592
154,interval,2922,0.0013139062270251895
155,l,2914,0.0013103089478273108
156,arg,2860,0.0012860273132416296
157,book,2774,0.001247356561864434
158,ax1,2768,0.0012446586024660248
159,scale,2768,0.0012446586024660248
160,est,2732,0.0012284708460755707
